Year,Holiday Name,Start Date,End Date
2013,Easter Holidays,2013-03-25,2013-04-09
2013,Ascension Bridge Day,2013-05-10,2013-05-10
2013,Summer Holidays,2013-06-24,2013-08-03
2013,Autumn Holidays,2013-10-04,2013-10-18
2013,Christmas Holidays,2013-12-23,2014-01-06
2014,Easter Holidays,2014-04-16,2014-05-02
2014,Ascension Bridge Day,2014-05-30,2014-05-30
2014,Summer Holidays,2014-07-14,2014-08-23
2014,Autumn Holidays,2014-10-13,2014-10-25
2014,Christmas Holidays,2014-12-22,2015-01-06
2015,Easter Holidays,2015-04-01,2015-04-17
2015,Ascension Bridge Day,2015-05-15,2015-05-15
2015,Summer Holidays,2015-07-20,2015-08-29
2015,Autumn Holidays,2015-10-19,2015-10-31
2015,Christmas Holidays,2015-12-21,2016-01-06
2016,Easter Holidays,2016-03-24,2016-04-09
2016,Ascension Bridge Day,2016-05-06,2016-05-06
2016,Summer Holidays,2016-07-25,2016-09-03
2016,Autumn Holidays,2016-10-17,2016-10-29
2016,Christmas Holidays,2016-12-23,2017-01-06
2017,Easter Holidays,2017-04-07,2017-04-21
2017,Ascension Bridge Day,2017-05-26,2017-05-26
2017,Summer Holidays,2017-07-24,2017-09-02
2017,Autumn Holidays,2017-10-16,2017-10-27
2017,Christmas Holidays,2017-12-21,2018-01-06
2018,Easter Holidays,2018-03-29,2018-04-13
2018,Ascension Bridge Day,2018-05-11,2018-05-11
2018,Summer Holidays,2018-07-09,2018-08-18
2018,Autumn Holidays,2018-10-01,2018-10-19
2018,Christmas Holidays,2018-12-21,2019-01-04
2019,Easter Holidays,2019-04-04,2019-04-18
2019,Ascension Bridge Day,2019-05-31,2019-05-31
2019,Summer Holidays,2019-07-01,2019-08-10
2019,Autumn Holidays,2019-10-04,2019-10-18
2019,Christmas Holidays,2019-12-23,2020-01-06
